player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0029263,R.Wilson,SEA,2020,0.0,0.1803181386514719,0.0,4.0,26.0,25.0
00-0029263,R.Wilson,SEA,2021,0.0,0.0765582655826558,0.0,4.0,26.0,30.0
00-0029263,R.Wilson,DEN,2022,0.0,0.1590643274853801,0.0,8.0,22.0,36.0
00-0029263,R.Wilson,DEN,2023,0.0,0.2589605734767025,0.0,4.0,35.0,23.0
00-0029263,R.Wilson,PIT,2024,0.0,0.1641538101916783,0.0,3.0,26.0,11.0
00-0029269,T.Benjamin,LAC,2019,0.0697722567287784,0.0,4.0,0.0,42.0,14.0
00-0029269,T.Benjamin,SF,2021,0.032759009009009,0.0,1.0,0.0,29.0,20.0
00-0029293,M.Jones,DET,2019,0.2472222222222222,0.0119047619047619,7.0,0.0,38.0,22.0
00-0029293,M.Jones,DET,2020,0.2116168800379326,0.0,11.0,0.0,31.0,22.0
00-0029293,M.Jones,JAX,2021,0.2377696377696377,0.0,8.0,0.0,32.0,31.0
00-0029293,M.Jones,JAX,2022,0.1957771114442778,0.0,3.0,0.0,38.0,19.0
00-0029293,M.Jones,DET,2023,0.099537037037037,0.0,1.0,0.0,41.0,22.0
00-0029319,J.Bellamy,NYJ,2019,0.024390243902439,0.0,2.0,0.0,30.0,24.0
00-0029419,D.Kelly,TEN,2019,0.0588235294117647,0.0,1.0,0.0,32.0,23.0
00-0029492,J.Olawale,DAL,2019,0.03125,0.0,1.0,0.0,46.0,22.0
00-0029528,B.Massie,CHI,2020,0.0357142857142857,0.0,1.0,0.0,28.0,32.0
00-0029567,N.Foles,JAX,2019,0.0,0.037037037037037,0.0,1.0,38.0,17.0
00-0029567,N.Foles,CHI,2020,0.0,0.0529411764705882,0.0,2.0,36.0,33.0
00-0029567,N.Foles,CHI,2021,0.0,0.1333333333333333,0.0,4.0,35.0,30.0
00-0029567,N.Foles,IND,2022,0.0,0.0714285714285714,0.0,1.0,27.0,27.0
00-0029572,J.Wright,CAR,2019,0.1155372405372405,0.0,5.0,0.0,49.0,18.0
